Type,Origin,Engines[a],First Flight,Airline service entry,End of Production,Number Built,In Service [1][b]
Airbus A220,Canada,2,2013,2016,in production,287 (September 2023)[2],287 (September 2023)
Airbus A320,Multinational,2,1986,1987,in production,"17,757 (September 2023)[2]","10,314 (September 2023)"
Airbus A330,Multinational,2,1992,1994,in production,"1,809 (September 2023)[2]","1,463 (September 2023)[2]"
Airbus A350 XWB,Multinational,2,2013,2014,in production,557 (September 2023)[2],556 (September 2023)
Antonov An-148/An-158,Ukraine,2,2004,2009,in production,37,8
Boeing 737,United States,2,1967,1968,in production,"11,513 (July 2023)[3]",7649
Boeing 767,United States,2,1981,1982,in production,"1,283 (July 2023)[3]",764
Boeing 777,United States,2,1994,1995,in production,"1,713 (July 2023)[3]",1483
Boeing 787 Dreamliner,United States,2,2009,2011,in production,"1,072 (July 2023)[3]",1069
Comac ARJ21 Xiangfeng,China,2,2008,2015,in production,127,122
Comac C919,China,2,2017,2023,in production,8,4
Embraer E-Jet family,Brazil,2,2002,2004,in production,"1,671 (June 2023)[4]",1443
Embraer E-Jet E2 family,Brazil,2,2016,2018,in production,81 (June 2023)[4],23
Ilyushin Il-96,Russia,4,1988,1992,in production,33 (October 2023),4
Sukhoi Superjet SSJ100,Russia,2,2008,2011,in production,221 (February 2022),160
Tupolev Tu-204/Tu-214,Russia,2,1989,1996,in production,89 (May 2021),18
